v,vw,o,c,h,l,t,n
25861.687366,716.6669,716.59,716.58,716.71,716.56,1789149720000,459
16075.968259,716.6797,716.6,716.66,716.68,716.55,1789149780000,312
11754.689658,716.6393,716.66,716.57,716.68,716.56,1789149840000,316
169763.094042,716.4834,716.55,716.4,716.555,716.39,1789149900000,545
14777.284974,716.4586,716.41,716.45,716.495,716.4,1789149960000,289
18794.181538,716.4471,716.46,716.45,716.49,716.4,1789150020000,401
30665.995321,716.4013,716.44,716.32,716.45,716.31,1789150080000,473
11939.495627,716.3935,716.32,716.36,716.42,716.32,1789150140000,313
125724.369006,709.9491,716.385,716.3201,716.39,716.26,1789150200000,395
28186.188113,716.2634,716.34,716.26,716.35,716.22,1789150260000,430
14065.346847,716.2947,716.255,716.2501,716.31,716.23,1789150320000,379
26795.483677,716.2248,716.25,716.215,716.25,716.17,1789150380000,491
37408.611666,716.5891,716.25,716.2401,716.27,716.18,1789150440000,319
41570.240313,716.1601,716.27,716.14,716.28,716.09,1789150500000,531
19518.057813,716.188,716.1412,716.19,716.265,716.12,1789150560000,322
23171.220658,716.2383,716.2097,716.26,716.3,716.18,1789150620000,386
18434.023821,716.2876,716.26,716.315,716.36,716.21,1789150680000,474
43846.405707,716.3069,716.3299,716.25,716.37,716.19,1789150740000,839
296070.299122,713.3918,716.259,715.88,716.27,715.65,1789150800000,2762
155448.253019,711.0015,715.9,715.8801,715.94,715.725,1789150860000,810
39382.283673,715.8499,715.875,715.96,716.03,715.86,1789150920000,418
21195.107138,715.9208,715.95,715.88,716.02,715.84,1789150980000,556
13638.016231,715.9066,715.86,716.0,716.0,715.84,1789151040000,371
28757.087405,716.0447,716.01,716.0,716.13,715.97,1789151100000,557
26913.995901,716.0868,715.9915,715.95,716.15,715.95,1789151160000,388
30301.121372,715.9891,715.95,716.05,716.095,715.91,1789151220000,547
42375.984734,716.1879,716.055,716.34,716.36,716.055,1789151280000,624
13296.00345,716.3084,716.33,716.285,716.36,716.26,1789151340000,407
26279.657348,716.3535,716.28,716.205,716.46,716.2,1789151400000,530
28309.361868,716.2077,716.2,716.095,716.27,716.095,1789151460000,466
15580.119207,716.145,716.09,716.215,716.28,716.04,1789151520000,372
6853.661594,716.4027,716.2395,716.4,716.41,716.22,1789151580000,247
110011.56282,716.3808,716.42,716.57,716.65,716.4,1789151640000,847
15513.568026,716.5407,716.62,716.54,716.62,716.47,1789151700000,334
23904.272539,716.5789,716.5395,716.67,716.68,716.51,1789151760000,536
18904.771231,716.5618,716.64,716.4,716.65,716.39,1789151820000,350
13683.080307,716.3596,716.38,716.35,716.4099,716.3,1789151880000,363
12091.252828,716.3766,716.35,716.38,716.39,716.33,1789151940000,354
17518.922722,716.4521,716.4,716.44,716.445,716.37,1789152000000,441
14236.348004,716.4592,716.44,716.44,716.48,716.38,1789152060000,319
15443.513444,716.3882,716.42,716.263,716.43,716.25,1789152120000,375
32422.967247,716.2182,716.25,716.16,716.25,716.145,1789152180000,626
16504.557586,716.1732,716.16,716.18,716.22,716.11,1789152240000,349
26079.559567,716.1589,716.19,716.05,716.21,716.0401,1789152300000,475
28340.39452,716.0836,716.04,716.07,716.13,716.0,1789152360000,440
23438.32127,716.1838,716.08,716.24,716.34,716.0578,1789152420000,583
37700.201272,716.0766,716.23,716.03,716.28,715.97,1789152480000,598
20793.403068,716.0463,716.0,716.03,716.08,716.0,1789152540000,446
16839.825897,716.0557,716.0,716.03,716.08,715.97,1789152600000,549
13858.199753,716.0672,716.0516,716.02,716.09,716.02,1789152660000,340
49016.243188,716.007,716.05,715.98,716.08,715.95,1789152720000,736
14862.008362,715.9924,715.97,716.0,716.02,715.97,1789152780000,320
16953.011527,715.96,716.0,715.94,716.025,715.91,1789152840000,361
25691.094678,716.0007,715.93,716.04,716.1,715.91,1789152900000,415
44446.785097,716.1282,716.04,716.155,716.19,716.02,1789152960000,715
26707.60196,716.0696,716.16,715.961,716.18,715.96,1789153020000,499
36634.183432,715.9669,715.961,716.06,716.07,715.915,1789153080000,571
61703.592225,715.9386,716.06,715.9401,716.07,715.88,1789153140000,731
33791.718205,715.9968,715.98,716.01,716.06,715.92,1789153200000,593
23723.373773,716.0126,716.011,715.94,716.05,715.94,1789153260000,486
36141.344724,715.8786,715.93,715.89,715.93,715.82,1789153320000,573
36193.311812,715.8339,715.86,715.84,715.91,715.79,1789153380000,623
28717.523916,715.8854,715.8594,715.89,715.965,715.795,1789153440000,620
16387.574687,715.914,715.89,715.915,715.96,715.84,1789153500000,507
24438.371758,715.8979,715.93,715.78,716.0,715.78,1789153560000,497
42370.101606,715.7326,715.78,715.7001,715.785,715.64,1789153620000,616
17269.126861,715.6955,715.69,715.6797,715.76,715.62,1789153680000,502
39335.854956,715.6584,715.68,715.61,715.7401,715.5601,1789153740000,564
37738.256588,715.5401,715.6,715.47,715.62,715.45,1789153800000,661
23370.864178,715.4926,715.4504,715.55,715.55,715.3923,1789153860000,543
12930.239571,715.5568,715.56,715.5999,715.605,715.505,1789153920000,375
12112.61475,715.6286,715.6,715.57,715.67,715.5262,1789153980000,376
25033.134821,715.5855,715.57,715.59,715.6937,715.51,1789154040000,558
16666.272203,715.6863,715.6,715.63,715.74,715.6,1789154100000,422
12040.374299,715.6309,715.6091,715.58,715.67,715.57,1789154160000,308
17566.132117,715.7236,715.5999,715.74,715.78,715.5999,1789154220000,450
28507.422725,715.7772,715.73,715.84,715.85,715.705,1789154280000,529
24232.837887,715.7966,715.81,715.69,715.86,715.69,1789154340000,476
8735.406305,715.7436,715.705,715.73,715.7832,715.67,1789154400000,224
13138.066603,715.7053,715.72,715.691,715.75,715.63,1789154460000,304
16839.126598,715.7149,715.72,715.6478,715.76,715.64,1789154520000,401
27001.424482,715.6337,715.65,715.7,715.7,715.57,1789154580000,531
44523.11289,715.7754,715.705,715.82,715.84,715.705,1789154640000,614
6309.065031,715.7744,715.81,715.75,715.825,715.74,1789154700000,235
15580.732645,715.8569,715.77,715.85,715.88,715.75,1789154760000,333
24950.633339,715.7758,715.86,715.74,715.865,715.7,1789154820000,479
29116.35464,715.717,715.74,715.6,715.795,715.6,1789154880000,612
28216.008505,715.6051,715.615,715.605,715.63,715.54,1789154940000,508
17485.528537,715.623,715.62,715.61,715.69,715.54,1789155000000,532
